"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 10:03:16 GMT 2022","Wed Sep 28 10:03:25 GMT 2022","8693","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
"passed","Wed Sep 28 10:03:15 GMT 2022","Wed Sep 28 10:03:20 GMT 2022","4875","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Sep 28 10:01:42 GMT 2022","Wed Sep 28 10:01:46 GMT 2022","4491","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Sep 28 10:03:31 GMT 2022","Wed Sep 28 10:03:36 GMT 2022","4867","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
"passed","Wed Sep 28 10:03:01 GMT 2022","Wed Sep 28 10:03:08 GMT 2022","7838","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Sep 28 10:01:32 GMT 2022","Wed Sep 28 10:01:39 GMT 2022","7187","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Sep 28 10:01:32 GMT 2022","Wed Sep 28 10:01:38 GMT 2022","5690","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Sep 28 10:02:51 GMT 2022","Wed Sep 28 10:02:55 GMT 2022","4340","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page",""
"passed","Wed Sep 28 10:03:29 GMT 2022","Wed Sep 28 10:03:33 GMT 2022","3892","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"skipped","Wed Sep 28 10:03:56 GMT 2022","Wed Sep 28 10:03:56 GMT 2022","0","","Check sign up","","Check sign up","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email",""
"passed","Wed Sep 28 10:02:02 GMT 2022","Wed Sep 28 10:02:14 GMT 2022","12031","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 10:02:42 GMT 2022","Wed Sep 28 10:02:51 GMT 2022","9511","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
"passed","Wed Sep 28 10:01:56 GMT 2022","Wed Sep 28 10:01:58 GMT 2022","2411","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Sep 28 10:01:53 GMT 2022","Wed Sep 28 10:01:56 GMT 2022","2941","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"passed","Wed Sep 28 10:03:11 GMT 2022","Wed Sep 28 10:03:13 GMT 2022","1533","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Sep 28 10:01:26 GMT 2022","Wed Sep 28 10:01:28 GMT 2022","2938","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page",""
"passed","Wed Sep 28 10:01:17 GMT 2022","Wed Sep 28 10:01:26 GMT 2022","8343","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
