"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 05 08:39:07 GMT 2022","Wed Oct 05 08:39:13 GMT 2022","6333","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Oct 05 08:38:48 GMT 2022","Wed Oct 05 08:38:59 GMT 2022","10832","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Oct 05 08:39:44 GMT 2022","Wed Oct 05 08:39:55 GMT 2022","11545","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Oct 05 08:39:18 GMT 2022","Wed Oct 05 08:39:28 GMT 2022","10736","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
"passed","Wed Oct 05 08:39:31 GMT 2022","Wed Oct 05 08:39:37 GMT 2022","5791","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Oct 05 08:40:14 GMT 2022","Wed Oct 05 08:40:17 GMT 2022","3620","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"broken","Wed Oct 05 08:38:30 GMT 2022","Wed Oct 05 08:38:52 GMT 2022","22077","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Oct 05 08:40:04 GMT 2022","Wed Oct 05 08:40:14 GMT 2022","9982","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
"failed","Wed Oct 05 08:39:35 GMT 2022","Wed Oct 05 08:39:52 GMT 2022","16572","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Oct 05 08:38:59 GMT 2022","Wed Oct 05 08:39:09 GMT 2022","10427","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Oct 05 08:38:59 GMT 2022","Wed Oct 05 08:39:03 GMT 2022","4541","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Oct 05 08:38:30 GMT 2022","Wed Oct 05 08:38:43 GMT 2022","12986","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
"passed","Wed Oct 05 08:39:28 GMT 2022","Wed Oct 05 08:39:35 GMT 2022","6770","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC16 - Should check ability to filter news by content on the ""Blog"" page","TC16 - Should check ability to filter news by content on the ""Blog"" page",""
"passed","Wed Oct 05 08:39:52 GMT 2022","Wed Oct 05 08:39:58 GMT 2022","6015","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"passed","Wed Oct 05 08:39:55 GMT 2022","Wed Oct 05 08:40:11 GMT 2022","15911","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Oct 05 08:39:03 GMT 2022","Wed Oct 05 08:39:07 GMT 2022","3831","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"passed","Wed Oct 05 08:39:24 GMT 2022","Wed Oct 05 08:39:31 GMT 2022","6474","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
"passed","Wed Oct 05 08:40:19 GMT 2022","Wed Oct 05 08:40:26 GMT 2022","6643","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"passed","Wed Oct 05 08:40:17 GMT 2022","Wed Oct 05 08:40:19 GMT 2022","2179","","Check sign up","","Check sign up","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email",""
