"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 09:56:42 GMT 2022","Wed Sep 28 09:56:49 GMT 2022","7225","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Sep 28 09:57:27 GMT 2022","Wed Sep 28 09:57:33 GMT 2022","6226","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"passed","Wed Sep 28 09:57:12 GMT 2022","Wed Sep 28 09:57:15 GMT 2022","3004","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Sep 28 09:57:28 GMT 2022","Wed Sep 28 09:57:38 GMT 2022","9680","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 09:56:54 GMT 2022","Wed Sep 28 09:56:57 GMT 2022","2873","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"passed","Wed Sep 28 09:56:42 GMT 2022","Wed Sep 28 09:56:52 GMT 2022","10255","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Sep 28 09:56:52 GMT 2022","Wed Sep 28 09:56:54 GMT 2022","1990","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Sep 28 09:56:37 GMT 2022","Wed Sep 28 09:56:40 GMT 2022","3265","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page",""
"skipped","Wed Sep 28 09:57:01 GMT 2022","Wed Sep 28 09:57:01 GMT 2022","0","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC16 - Should check ability to filter news by content on the ""Blog"" page","TC16 - Should check ability to filter news by content on the ""Blog"" page",""
"skipped","Wed Sep 28 09:57:27 GMT 2022","Wed Sep 28 09:57:27 GMT 2022","0","","Check sign up","","Check sign up","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email",""
"passed","Wed Sep 28 09:56:52 GMT 2022","Wed Sep 28 09:57:01 GMT 2022","8937","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
"passed","Wed Sep 28 09:56:57 GMT 2022","Wed Sep 28 09:57:03 GMT 2022","6484","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Sep 28 09:57:01 GMT 2022","Wed Sep 28 09:57:07 GMT 2022","6215","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Sep 28 09:56:28 GMT 2022","Wed Sep 28 09:56:37 GMT 2022","9443","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Sep 28 09:57:23 GMT 2022","Wed Sep 28 09:57:27 GMT 2022","3854","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"passed","Wed Sep 28 09:57:07 GMT 2022","Wed Sep 28 09:57:11 GMT 2022","3529","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"passed","Wed Sep 28 09:57:07 GMT 2022","Wed Sep 28 09:57:12 GMT 2022","5306","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
"passed","Wed Sep 28 09:57:17 GMT 2022","Wed Sep 28 09:57:28 GMT 2022","11601","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 09:56:28 GMT 2022","Wed Sep 28 09:56:37 GMT 2022","8985","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
"passed","Wed Sep 28 09:57:17 GMT 2022","Wed Sep 28 09:57:23 GMT 2022","6659","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
